id,symbols,countries,date,value
187,BDT,Bangladeshi Taka,2023-08-08,119.911927
188,BDT,Bangladeshi Taka,2023-08-09,120.162661
189,BDT,Bangladeshi Taka,2023-08-10,120.191078
190,BDT,Bangladeshi Taka,2023-08-11,120.003393
191,BDT,Bangladeshi Taka,2023-08-12,120.32079
192,BDT,Bangladeshi Taka,2023-08-13,120.321055
193,BDT,Bangladeshi Taka,2023-08-14,119.699355
194,BDT,Bangladeshi Taka,2023-08-15,119.883693
195,BGN,Bulgarian Lev,2023-08-01,1.956266
196,BGN,Bulgarian Lev,2023-08-02,1.955633
197,BGN,Bulgarian Lev,2023-08-03,1.955886
198,BGN,Bulgarian Lev,2023-08-04,1.957531
199,BGN,Bulgarian Lev,2023-08-05,1.95881
200,BGN,Bulgarian Lev,2023-08-06,1.953568
201,BGN,Bulgarian Lev,2023-08-07,1.955896
202,BGN,Bulgarian Lev,2023-08-08,1.955936
203,BGN,Bulgarian Lev,2023-08-09,1.955991
204,BGN,Bulgarian Lev,2023-08-10,1.955721
205,BGN,Bulgarian Lev,2023-08-11,1.95856
206,BGN,Bulgarian Lev,2023-08-12,1.958954
207,BGN,Bulgarian Lev,2023-08-13,1.958958
208,BGN,Bulgarian Lev,2023-08-14,1.958593
209,BGN,Bulgarian Lev,2023-08-15,1.954047
210,BHD,Bahraini Dinar,2023-08-01,0.414981
211,BHD,Bahraini Dinar,2023-08-02,0.412562
212,BHD,Bahraini Dinar,2023-08-03,0.412859
213,BHD,Bahraini Dinar,2023-08-04,0.415666
214,BHD,Bahraini Dinar,2023-08-05,0.412539
215,BHD,Bahraini Dinar,2023-08-06,0.412129
216,BHD,Bahraini Dinar,2023-08-07,0.414853
217,BHD,Bahraini Dinar,2023-08-08,0.413111
218,BHD,Bahraini Dinar,2023-08-09,0.413795
219,BHD,Bahraini Dinar,2023-08-10,0.414008
220,BHD,Bahraini Dinar,2023-08-11,0.413336
221,BHD,Bahraini Dinar,2023-08-12,0.414368
222,BHD,Bahraini Dinar,2023-08-13,0.414369
223,BHD,Bahraini Dinar,2023-08-14,0.412036
224,BHD,Bahraini Dinar,2023-08-15,0.411478
225,BIF,Burundian Franc,2023-08-01,3118.496706
226,BIF,Burundian Franc,2023-08-02,3103.468846
227,BIF,Burundian Franc,2023-08-03,3110.198494
228,BIF,Burundian Franc,2023-08-04,3123.979921
229,BIF,Burundian Franc,2023-08-05,3099.841428
230,BIF,Burundian Franc,2023-08-06,3096.761875
231,BIF,Burundian Franc,2023-08-07,3105.4039
232,BIF,Burundian Franc,2023-08-08,3104.110102
233,BIF,Burundian Franc,2023-08-09,3110.772471
234,BIF,Burundian Franc,2023-08-10,3111.852714
235,BIF,Burundian Franc,2023-08-11,3107.243177
236,BIF,Burundian Franc,2023-08-12,3115.461523
237,BIF,Burundian Franc,2023-08-13,3115.468383
238,BIF,Burundian Franc,2023-08-14,3098.530343
239,BIF,Burundian Franc,2023-08-15,3112.172668
240,BMD,Bermudan Dollar,2023-08-01,1.100764
241,BMD,Bermudan Dollar,2023-08-02,1.094379
242,BMD,Bermudan Dollar,2023-08-03,1.09514
243,BMD,Bermudan Dollar,2023-08-04,1.102487
244,BMD,Bermudan Dollar,2023-08-05,1.102487
245,BMD,Bermudan Dollar,2023-08-06,1.100243
246,BMD,Bermudan Dollar,2023-08-07,1.10028
247,BMD,Bermudan Dollar,2023-08-08,1.09586
248,BMD,Bermudan Dollar,2023-08-09,1.097737
249,BMD,Bermudan Dollar,2023-08-10,1.09814
250,BMD,Bermudan Dollar,2023-08-11,1.096366
251,BMD,Bermudan Dollar,2023-08-12,1.096366
252,BMD,Bermudan Dollar,2023-08-13,1.096368
253,BMD,Bermudan Dollar,2023-08-14,1.092956
254,BMD,Bermudan Dollar,2023-08-15,1.091512
255,BND,Brunei Dollar,2023-08-01,1.468467
256,BND,Brunei Dollar,2023-08-02,1.465546
257,BND,Brunei Dollar,2023-08-03,1.46947
258,BND,Brunei Dollar,2023-08-04,1.481832
259,BND,Brunei Dollar,2023-08-05,1.470382
260,BND,Brunei Dollar,2023-08-06,1.468922
261,BND,Brunei Dollar,2023-08-07,1.475838
262,BND,Brunei Dollar,2023-08-08,1.47727
263,BND,Brunei Dollar,2023-08-09,1.477179
264,BND,Brunei Dollar,2023-08-10,1.477623
265,BND,Brunei Dollar,2023-08-11,1.480171
266,BND,Brunei Dollar,2023-08-12,1.484086
267,BND,Brunei Dollar,2023-08-13,1.48409
268,BND,Brunei Dollar,2023-08-14,1.480962
269,BND,Brunei Dollar,2023-08-15,1.483235
270,BOB,Bolivian Boliviano,2023-08-01,7.609558
271,BOB,Bolivian Boliviano,2023-08-02,7.573117
272,BOB,Bolivian Boliviano,2023-08-03,7.562839
273,BOB,Bolivian Boliviano,2023-08-04,7.620766
274,BOB,Bolivian Boliviano,2023-08-05,7.561881
275,BOB,Bolivian Boliviano,2023-08-06,7.554369
276,BOB,Bolivian Boliviano,2023-08-07,7.598227
277,BOB,Bolivian Boliviano,2023-08-08,7.570246
278,BOB,Bolivian Boliviano,2023-08-09,7.586742
279,BOB,Bolivian Boliviano,2023-08-10,7.588008
280,BOB,Bolivian Boliviano,2023-08-11,7.575691
281,BOB,Bolivian Boliviano,2023-08-12,7.596419
282,BOB,Bolivian Boliviano,2023-08-13,7.596435
283,BOB,Bolivian Boliviano,2023-08-14,7.556612
284,BOB,Bolivian Boliviano,2023-08-15,7.568353
285,BRL,Brazilian Real,2023-08-01,5.27651
286,BRL,Brazilian Real,2023-08-02,5.266042
287,BRL,Brazilian Real,2023-08-03,5.38579
288,BRL,Brazilian Real,2023-08-04,5.372864
289,BRL,Brazilian Real,2023-08-05,5.372864
290,BRL,Brazilian Real,2023-08-06,5.376777
291,BRL,Brazilian Real,2023-08-07,5.391924
292,BRL,Brazilian Real,2023-08-08,5.369829
293,BRL,Brazilian Real,2023-08-09,5.382426
294,BRL,Brazilian Real,2023-08-10,5.37322
295,BRL,Brazilian Real,2023-08-11,5.38086
296,BRL,Brazilian Real,2023-08-12,5.380648
